fight_id,event_id,event_name,event_date_raw,event_date,fighter_a_id,fighter_a_name,fighter_b_id,fighter_b_name,outcome_type,winner_id,weight_class,is_title_fight,bout_order,is_main_event,referee,end_round,end_time,method_raw,method_category,method_subtype,source_url,scraped_at
93612-12,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,176275,Gregory Rodrigues,25761,Chidi Njokuani,win,176275,Middleweight,False,12,False,Mark Smith,2,1:27,TKO (Punches),TKO,Punches,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93612-11,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,58385,Andre Fili,77441,Bill Algeo,win,58385,Featherweight,False,11,False,Keith Peterson,3,5:00,Decision (Split),Decision,Split,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93612-10,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,239253,Joe Pyfer,134209,Alen Amedovski,win,239253,Middleweight,False,10,False,Chris Tognoni,1,3:55,TKO (Punches),TKO,Punches,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93612-9,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,97975,Rodrigo Nascimento,114961,Tanner Boser,win,97975,Heavyweight,False,9,False,Mark Smith,3,5:00,Decision (Split),Decision,Split,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93612-8,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,86783,Anthony Hernandez,170803,Marc-Andre Barriault,win,86783,Middleweight,False,8,False,Herb Dean,3,1:53,Technical Submission (Arm-Triangle Choke),Technical Submission,Arm-Triangle Choke,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93612-7,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,113767,Damon Jackson,60415,Pat Sabatini,win,113767,Featherweight,False,7,False,Keith Peterson,1,1:09,TKO (Submission to Punches),TKO,Submission to Punches,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93612-6,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,111237,Trevin Giles,282403,Louis Cosce,win,111237,Welterweight,False,6,False,Chris Tognoni,3,5:00,Decision (Unanimous),Decision,Unanimous,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93612-5,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,270881,Konklak Suphisara,382138,Denise Gomes,win,270881,Strawweight,False,5,False,Keith Peterson,3,5:00,Decision (Unanimous),Decision,Unanimous,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93612-4,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,187343,Trey Ogden,238903,Daniel Zellhuber,win,187343,Lightweight,False,4,False,Herb Dean,3,5:00,Decision (Unanimous),Decision,Unanimous,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93612-3,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,219015,Gillian Robertson,206861,Mariya Agapova,win,219015,Flyweight,False,3,False,Mark Smith,2,2:19,Technical Submission (Rear-Naked Choke),Technical Submission,Rear-Naked Choke,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93612-2,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,222651,Javid Basharat,210575,Tony Gravely,win,222651,Bantamweight,False,2,False,Keith Peterson,3,5:00,Decision (Unanimous),Decision,Unanimous,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93612-1,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,103887,Nikolas Motta,86203,Cameron VanCamp,win,103887,Lightweight,False,1,False,Chris Tognoni,1,3:49,TKO (Punches),TKO,Punches,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93612-13,93612,UFC Fight Night 210 - Sandhagen vs. Song,2022-09-17T00:00:00+00:00,2022-09-17,112869,Cory Sandhagen,103807,Yadong Song,win,112869,Bantamweight,False,13,True,Herb Dean,4,5:00,TKO (Doctor Stoppage),TKO,Doctor Stoppage,https://www.sherdog.com/events/UFC-Fight-Night-210-Sandhagen-vs-Song-93612,2026-08-18T23:13:27.924837+00:00
93247-12,93247,UFC 279 - Diaz vs. Ferguson,2022-09-10T00:00:00+00:00,2022-09-10,280021,Khamzat Chimaev,108999,Kevin Holland,win,280021,180lb Catchweight,False,12,False,Herb Dean,1,2:13,Submission (Brabo Choke),Submission,Brabo Choke,https://www.sherdog.com/events/UFC-279-Diaz-vs-Ferguson-93247,2026-08-18T23:13:27.976915+00:00
93247-11,93247,UFC 279 - Diaz vs. Ferguson,2022-09-10T00:00:00+00:00,2022-09-10,145945,Daniel Rodriguez,26381,Jingliang Li,win,145945,180lb Catchweight,False,11,False,Mark Smith,3,5:00,Decision (Split),Decision,Split,https://www.sherdog.com/events/UFC-279-Diaz-vs-Ferguson-93247,2026-08-18T23:13:27.976915+00:00
